name,price,time
MSFT,413.43,2024-08-26T15:00:00Z
MSFT,413.9,2024-08-26T14:00:00Z
MSFT,415.65,2024-08-26T13:00:00Z
MSFT,416.58,2024-08-23T19:00:00Z
MSFT,414.345,2024-08-23T18:00:00Z
MSFT,414.73,2024-08-23T17:00:00Z
MSFT,413.92,2024-08-23T16:00:00Z
MSFT,414.64,2024-08-23T15:00:00Z
MSFT,414.92,2024-08-23T14:00:00Z
MSFT,417.29,2024-08-23T13:00:00Z
MSFT,415.74,2024-08-22T19:00:00Z
MSFT,415.525,2024-08-22T18:00:00Z
MSFT,415.03,2024-08-22T17:00:00Z
MSFT,416.985,2024-08-22T16:00:00Z
MSFT,418.18,2024-08-22T15:00:00Z
MSFT,421.49,2024-08-22T14:00:00Z
MSFT,425.63,2024-08-22T13:00:00Z
MSFT,424,2024-08-21T19:00:00Z
MSFT,424.105,2024-08-21T18:00:00Z
MSFT,423.93,2024-08-21T17:00:00Z
MSFT,423.62,2024-08-21T16:00:00Z
MSFT,422.11,2024-08-21T15:00:00Z
MSFT,423.74,2024-08-21T14:00:00Z
MSFT,423.535,2024-08-21T13:00:00Z
MSFT,424.87,2024-08-20T19:00:00Z
MSFT,424.905,2024-08-20T18:00:00Z
MSFT,424.15,2024-08-20T17:00:00Z
MSFT,423.5,2024-08-20T16:00:00Z
MSFT,422.88,2024-08-20T15:00:00Z
MSFT,423.12,2024-08-20T14:00:00Z
MSFT,423.38,2024-08-20T13:00:00Z
NVDA,116.04,2024-09-20T19:00:00Z
NVDA,116.075,2024-09-20T18:00:00Z
NVDA,116,2024-09-20T17:00:00Z
NVDA,116.25,2024-09-20T16:00:00Z
NVDA,116.29,2024-09-20T15:00:00Z
NVDA,116.51,2024-09-20T14:00:00Z
NVDA,117.5,2024-09-20T13:00:00Z
NVDA,117.9,2024-09-19T19:00:00Z
NVDA,118.57,2024-09-19T18:00:00Z
NVDA,119.28,2024-09-19T17:00:00Z
NVDA,119.485,2024-09-19T16:00:00Z
NVDA,118.875,2024-09-19T15:00:00Z
NVDA,118.57,2024-09-19T14:00:00Z
NVDA,118.37,2024-09-19T13:00:00Z
NVDA,113.29,2024-09-18T19:00:00Z
NVDA,115.92,2024-09-18T18:00:00Z
NVDA,115.085,2024-09-18T17:00:00Z
NVDA,115.23,2024-09-18T16:00:00Z
NVDA,113.92,2024-09-18T15:00:00Z
NVDA,115.17,2024-09-18T14:00:00Z
NVDA,115.92,2024-09-18T13:00:00Z
NVDA,115.59,2024-09-17T19:00:00Z
NVDA,115.12,2024-09-17T18:00:00Z
NVDA,115.52,2024-09-17T17:00:00Z
NVDA,116.02,2024-09-17T16:00:00Z
NVDA,117.31,2024-09-17T15:00:00Z
NVDA,117.49,2024-09-17T14:00:00Z
NVDA,117.26,2024-09-17T13:00:00Z
NVDA,118.09,2024-09-17T12:00:00Z
NVDA,116.74,2024-09-16T19:00:00Z
NVDA,116.35,2024-09-16T18:00:00Z
NVDA,116.9,2024-09-16T17:00:00Z
NVDA,116.21,2024-09-16T16:00:00Z
NVDA,116.18,2024-09-16T15:00:00Z
NVDA,116.48,2024-09-16T14:00:00Z
NVDA,116.78,2024-09-16T13:00:00Z
NVDA,117.21,2024-09-16T12:00:00Z
NVDA,119.08,2024-09-13T19:00:00Z
NVDA,118.86,2024-09-13T18:00:00Z
NVDA,118.805,2024-09-13T17:00:00Z
NVDA,119.275,2024-09-13T16:00:00Z
NVDA,118.91,2024-09-13T15:00:00Z
NVDA,119.39,2024-09-13T14:00:00Z
NVDA,118.68,2024-09-13T13:00:00Z
NVDA,119.22,2024-09-12T19:00:00Z
NVDA,120.35,2024-09-12T18:00:00Z
NVDA,120.62,2024-09-12T17:00:00Z
NVDA,119.42,2024-09-12T16:00:00Z
NVDA,118.16,2024-09-12T15:00:00Z
NVDA,118.66,2024-09-12T14:00:00Z
NVDA,118.25,2024-09-12T13:00:00Z
NVDA,116.89,2024-09-11T20:00:00Z
NVDA,116.84,2024-09-11T19:00:00Z
NVDA,115.1,2024-09-11T18:00:00Z
NVDA,114.3,2024-09-11T17:00:00Z
NVDA,112.06,2024-09-11T16:00:00Z
NVDA,111.16,2024-09-11T15:00:00Z
NVDA,108.57,2024-09-11T14:00:00Z
NVDA,110.265,2024-09-11T13:00:00Z
NVDA,108.74,2024-09-11T12:00:00Z
NVDA,108,2024-09-10T19:00:00Z
NVDA,107.13,2024-09-10T18:00:00Z
NVDA,106.54,2024-09-10T17:00:00Z
NVDA,105.82,2024-09-10T16:00:00Z
NVDA,105.29,2024-09-10T15:00:00Z
NVDA,106.89,2024-09-10T14:00:00Z
NVDA,107.02,2024-09-10T13:00:00Z
NVDA,107.71,2024-09-10T12:00:00Z
NVDA,106.51,2024-09-09T19:00:00Z
NVDA,105.38,2024-09-09T18:00:00Z
NVDA,105.235,2024-09-09T17:00:00Z
NVDA,105.77,2024-09-09T16:00:00Z
NVDA,105.39,2024-09-09T15:00:00Z
NVDA,103.83,2024-09-09T14:00:00Z
NVDA,106.13,2024-09-09T13:00:00Z
NVDA,103.88,2024-09-09T12:00:00Z
NVDA,102.87,2024-09-06T19:00:00Z
NVDA,102.79,2024-09-06T18:00:00Z
NVDA,102.39,2024-09-06T17:00:00Z
NVDA,102.02,2024-09-06T16:00:00Z
NVDA,101.65,2024-09-06T15:00:00Z
NVDA,102.57,2024-09-06T14:00:00Z
NVDA,104.18,2024-09-06T13:00:00Z
NVDA,107.9,2024-09-06T12:00:00Z
NVDA,107.17,2024-09-05T19:00:00Z
NVDA,107.25,2024-09-05T18:00:00Z
NVDA,107.56,2024-09-05T17:00:00Z
NVDA,106.94,2024-09-05T16:00:00Z
NVDA,106.345,2024-09-05T15:00:00Z
NVDA,107.66,2024-09-05T14:00:00Z
NVDA,108.9,2024-09-05T13:00:00Z
NVDA,105.25,2024-09-05T12:00:00Z
NVDA,106.16,2024-09-04T19:00:00Z
NVDA,106.19,2024-09-04T18:00:00Z
NVDA,108.715,2024-09-04T17:00:00Z
NVDA,108.93,2024-09-04T16:00:00Z
NVDA,107.915,2024-09-04T15:00:00Z
NVDA,109.68,2024-09-04T14:00:00Z
NVDA,106.91,2024-09-04T13:00:00Z
NVDA,106.17,2024-09-03T20:00:00Z
NVDA,108.01,2024-09-03T19:00:00Z
NVDA,108.82,2024-09-03T18:00:00Z
NVDA,109.58,2024-09-03T17:00:00Z
NVDA,110.17,2024-09-03T16:00:00Z
NVDA,110.35,2024-09-03T15:00:00Z
NVDA,109.76,2024-09-03T14:00:00Z
NVDA,112.96,2024-09-03T13:00:00Z
NVDA,119.46,2024-08-30T19:00:00Z
NVDA,119.03,2024-08-30T18:00:00Z
NVDA,118.17,2024-08-30T17:00:00Z
NVDA,118.47,2024-08-30T16:00:00Z
NVDA,118.26,2024-08-30T15:00:00Z
NVDA,118.5,2024-08-30T14:00:00Z
NVDA,120.94,2024-08-30T13:00:00Z
